base,forms,chain,cost,role,rarity,types,traits,hp,atk,def,speed,skill,ability_damage,sprites_have,sprites_need
"alolanexeggutor","1","alolanexeggutor","6","tank","epic","DRAGON/GRASS/PSYCHIC","wincon","350","26","6","38","EGG_BOMB","25/50/100/200 special","0","1"
"alolangeodude","3","alolangeodude>alolangraveler>alolangolem","2","fighter","common","ELECTRIC/ROCK","","70","4","4","39","DISCHARGE","25/50/100/200 special","0","3"
"alolangrimer","2","alolangrimer>alolanmuk","2","fighter","uncommon","POISON/DARK","","70","6","4","41","SLUDGE","","0","2"
"alolanmarowak","1","alolanmarowak","6","tank","epic","GROUND/FIRE/GHOST","wincon","250","22","12","36","SHADOW_BONE","30/60/120/240 special","0","1"
"alolanmeowth","2","alolanmeowth>alolanpersian","4","runner","rare","NORMAL/DARK","wincon jumps","80","7","6","62","PICKUP","30/60/120/240 special","0","2"
"alolanraichu","1","alolanraichu","5","tank","common","ELECTRIC/FAIRY/PSYCHIC","wincon","220","17","7","54","NUZZLE","25/50/100/200 special","0","1"
"alolanrattata","2","alolanrattata>alolanraticate","2","fighter","common","DARK","","60","6","2","50","TAIL_WHIP","","0","2"
"alolansandshrew","2","alolansandshrew>alolansandslash","3","tank","uncommon","ICE/STEEL","wincon","90","5","6","46","ICE_BALL","10/20/30/60 special","0","2"
"alolanvulpix","2","alolanvulpix>alolanninetales","2","skirmisher","rare","ICE/FAIRY","","75","6","4","60","AURORA_VEIL","","0","2"
"amaura","2","amaura>aurorus","5","tank","epic","ICE","wincon","130","7","6","44","HAIL","50/50/50/80 special","0","2"
"anorith","2","anorith>armaldo","2","fighter","uncommon","BUG/WATER","","60","6","4","39","HARDEN","","0","2"
"appletun","1","appletun","7","tank","unique","DRAGON/GRASS","wincon","250","15","12","31","APPLE_ACID","15/30/50/100 special","0","1"
"applin","1","applin","6","tank","unique","DRAGON/GRASS","wincon","160","12","6","31","NUTRIENTS","","0","1"
"arceus","1","arceus","7","runner","legendary","","wincon jumps","300","21","10","63","JUDGEMENT","","0","1"
"archen","2","archen>archeops","3","skirmisher","uncommon","ROCK/FLYING","air","70","6","3","60","ROCK_SMASH","25/50/100/200 special","0","2"
"arctovish","1","arctovish","6","tank","unique","ICE/WATER","wincon","180","22","6","43","ICE_FANG","30/60/120/240 special","0","1"
"arctozolt","1","arctozolt","6","tank","unique","ELECTRIC/ICE","wincon","180","22","6","43","THUNDER_FANG","30/60/120/240 special","0","1"
"armarouge","1","armarouge","6","skirmisher","unique","FIRE/PSYCHIC","","200","16","8","51","ARMOR_CANNON","15/30/50/100 special","0","1"
"aron","3","aron>lairon>aggron","1","fighter","common","STEEL/ROCK","","60","4","4","41","HEAVY_SLAM","15/30/60/120 special","3","0"
"arrokuda","1","arrokuda","3","bruiser","special","WATER","","80","10","2","46","AQUA_JET","20/40/80/160 special","0","1"
"articuno","1","articuno","7","skirmisher","legendary","ICE/FLYING","air","300","28","6","52","BLIZZARD","10/20/40/80 special","0","1"
"audino","1","audino","6","skirmisher","unique","NORMAL","","200","17","8","41","ENTRAINMENT","","0","1"
"axew","3","axew>fraxure>haxorus","4","runner","hatch","DRAGON","wincon jumps","80","9","5","62","OUTRAGE","","0","3"
"azelf","1","azelf","6","sniper","unique","PSYCHIC/FAIRY","","200","15","6","62","NASTY_PLOT","","0","1"
"azurill","3","azurill>marill>azumarill","1","skirmisher","common","WATER/FAIRY","","50","5","2","41","PLAY_ROUGH","","0","3"
"bagon","3","bagon>shelgon>salamence","2","fighter","uncommon","DRAGON","","70","5","6","57","DRAGON_CLAW","30/60/120/240 special","3","0"
"baltoy","2","baltoy>claydol","4","skirmisher","epic","GROUND/PSYCHIC","","80","8","8","49","CONFUSION","75/150/300/500 special","0","2"
"barboach","2","barboach>whiscash","5","tank","epic","WATER/GROUND","wincon","120","9","6","44","FISSURE","25/50/75/100 special","0","2"
"basculegionfemale","1","basculegionfemale","6","skirmisher","unique","WATER/GHOST","","190","19","6","56","GRUDGE_DIVE","","0","1"
"basculegionmale","1","basculegionmale","7","tank","unique","WATER/GHOST","wincon","210","25","8","56","GRUDGE_DIVE","","0","1"
"basculinblue","1","basculinblue","6","bruiser","unique","WATER","","160","15","4","56","BARED_FANGS","","0","1"
"basculinred","1","basculinred","6","bruiser","unique","WATER","","160","15","4","56","BARED_FANGS","","0","1"
"basculinwhite","1","basculinwhite","6","tank","unique","WATER/GHOST","wincon","160","15","6","56","GRUDGE_DIVE","","0","1"
"beldum","3","beldum>metang>metagross","5","tank","epic","PSYCHIC/STEEL","wincon","110","5","12","47","METEOR_MASH","","3","0"
"bellossom","1","bellossom","6","tank","special","GRASS","wincon","300","30","10","41","PETAL_BLIZZARD","","0","1"
"bellsprout","3","bellsprout>weepinbell>victreebel","2","fighter","special","GRASS/POISON","","60","6","3","47","INGRAIN","15/30/60/120 special","0","3"
"bergmite","2","bergmite>avalugg","3","tank","rare","ICE","wincon","90","5","10","28","MOUNTAIN_GALE","","0","2"
"bidoof","2","bidoof>bibarel","2","fighter","uncommon","NORMAL/WATER","","70","7","4","48","SUPER_FANG","","0","2"
"binacle","2","binacle>barbaracle","3","bruiser","rare","ROCK/WATER","","80","9","8","47","STONE_EDGE","","0","2"
"blacephalon","1","blacephalon","7","sniper","legendary","FIRE/GHOST","","200","25","5","69","MIND_BLOWN","","0","1"
"blipbug","3","blipbug>dottler>orbeetle","2","runner","common","BUG/PSYCHIC","wincon jumps","60","4","4","58","EXPANDING_FORCE","10/20/40/80 special","0","3"
"bonsley","2","bonsley>sudowoodo","5","tank","epic","ROCK/GRASS","wincon","125","9","10","35","WOOD_HAMMER","","1","1"
"bounsweet","3","bounsweet>steenee>tsareena","4","bruiser","epic","GRASS/FIGHTING","","85","10","8","48","TROP_KICK","50/100/200/400 special","0","3"
"bronzor","2","bronzor>bronzong","4","tank","rare","STEEL/PSYCHIC","wincon","100","6","12","36","DEFENSE_CURL","","2","0"
"bruxish","1","bruxish","6","tank","unique","WATER/PSYCHIC","wincon","200","18","10","54","PSYCHIC_FANGS","","0","1"
"budew","3","budew>roselia>roserade","2","sniper","epic","GRASS/POISON","","90","5","2","54","PETAL_DANCE","20/30/50/100 special","0","3"
"bugnest","1","bugnest","2","fighter","special","","building","100","0","5","0","SWARM","","0","1"
"buizel","2","buizel>floatzel","5","runner","epic","WATER","wincon jumps","90","8","6","62","AQUA_JET","20/40/80/160 special","0","2"
"bulbasaur","3","bulbasaur>ivysaur>venusaur","2","skirmisher","rare","GRASS/POISON","","80","5","4","51","MAGICAL_LEAF","10/20/40/80 special","3","0"
"buneary","3","buneary>lopunny>megalopunny","4","runner","rare","NORMAL/FIGHTING","wincon jumps","65","7","6","59","HIGH_JUMP_KICK","15/30/60/120 special","0","3"
"bunnelby","2","bunnelby>diggersby","3","fighter","rare","NORMAL/GROUND","","80","7","4","50","EAR_DIG","","0","2"
"burmyplant","1","burmyplant","2","skirmisher","rare","BUG/GRASS","","70","7","2","46","QUIVER_DANCE","","0","1"
"burmysandy","1","burmysandy","2","skirmisher","rare","BUG/GROUND/GRASS","","70","7","6","46","QUIVER_DANCE","","0","1"
"burmytrash","1","burmytrash","2","skirmisher","rare","BUG/GROUND/GRASS","","70","7","4","46","QUIVER_DANCE","","0","1"
"buzzwole","1","buzzwole","7","tank","legendary","BUG/FIGHTING","wincon","250","30","15","50","BULK_UP","","0","1"
"cacnea","2","cacnea>cacturne","3","fighter","rare","GRASS/DARK","","85","7","6","43","HEAL_BLOCK","20/40/80/160 special","0","2"
"capsakid","2","capsakid>scovillain","2","skirmisher","uncommon","GRASS/FIRE","","60","6","2","49","SPICY_EXTRACT","","0","2"
"carbink","2","carbink>diancie","5","tank","epic","ROCK/FAIRY","wincon","125","7","8","41","DIAMOND_STORM","","0","2"
"carnivine","1","carnivine","6","skirmisher","unique","GRASS","","180","21","6","29","POWER_WHIP","","0","1"
"carvanha","2","carvanha>sharpedo","3","bruiser","rare","WATER/DARK","","85","11","2","55","BITE","40/80/120/200 special","0","2"
"cascoon","2","cascoon>dustox","6","tank","epic","BUG/POISON","wincon","200","23","12","20","SPIKY_SHIELD","30/30/30/60 special","0","2"
"castform","1","castform","6","skirmisher","unique","","","180","18","6","47","FORECAST","","0","1"
"castformhail","1","castformhail","6","skirmisher","unique","ICE","","180","18","6","47","FORECAST","","0","1"
"castformrain","1","castformrain","6","skirmisher","unique","WATER","","180","18","6","47","FORECAST","","0","1"
"castformsun","1","castformsun","6","skirmisher","unique","FIRE","","180","18","6","47","FORECAST","","0","1"
"caterpie","3","caterpie>metapod>butterfree","1","skirmisher","common","BUG","","60","5","2","47","STRING_SHOT","10/20/50/100 special","3","0"
"celebi","1","celebi","7","sniper","legendary","GRASS/PSYCHIC","","250","25","10","57","TIME_TRAVEL","","0","1"
"celesteela","1","celesteela","7","tank","legendary","STEEL/FLYING/GRASS","wincon air","300","30","15","40","ULTRA_THRUSTERS","20/40/80/160 special","0","1"
"ceruledge","1","ceruledge","6","tank","unique","FIRE/GHOST","wincon","200","20","6","51","BITTER_BLADE","50/60/70/140 special","0","1"
"cetoddle","2","cetoddle>cetitan","2","fighter","uncommon","ICE","","90","5","2","48","ICE_SPINNER","15/30/60/120 special","0","2"
"charcadet","1","charcadet","5","bruiser","unique","FIRE","","150","15","4","33","FLAME_CHARGE","30/60/120/240 special","0","1"
"charmander","3","charmander>charmeleon>charizard","1","fighter","common","DRAGON/FIRE","","60","4","3","57","BLAST_BURN","30/60/120/240 special","3","0"
"chatot","1","chatot","6","skirmisher","unique","FLYING","air","200","18","4","54","CHATTER","10/20/30/60 special","0","1"
"cherrim","1","cherrim","5","sniper","epic","GRASS","","180","15","4","52","NATURAL_GIFT","","0","1"
"cherrimsunlight","1","cherrimsunlight","6","sniper","epic","GRASS","","250","25","6","52","NATURAL_GIFT","","0","1"
"cherubi","1","cherubi","3","sniper","epic","GRASS","","90","6","2","52","NATURAL_GIFT","","0","1"
"chespin","3","chespin>quilladin>chesnaught","2","fighter","common","GRASS/FIGHTING","","60","7","5","41","SPIKY_SHIELD","30/30/30/60 special","0","3"
"chewtle","2","chewtle>drednaw","3","bruiser","rare","WATER/ROCK","","80","9","6","49","JAW_LOCK","10/15/20/40 special","0","2"
"chikorita","3","chikorita>bayleef>meganium","2","skirmisher","special","GRASS/FAIRY","","70","6","2","51","SWEET_SCENT","","0","3"
"chimchar","3","chimchar>monferno>infernape","2","runner","common","FIRE/FIGHTING","wincon jumps","60","4","2","60","TORMENT","","0","3"
"chinchou","2","chinchou>lanturn","2","skirmisher","uncommon","WATER/ELECTRIC","","60","7","4","43","ELECTRO_BALL","10/20/40/80 special","2","0"
"chingling","2","chingling>chimecho","5","skirmisher","unique","PSYCHIC","","150","10","5","46","ECHO","3/6/9/12 special","0","2"
"chiyu","1","chiyu","7","skirmisher","legendary","FIRE/DARK","","200","28","6","57","BURNING_JEALOUSY","30/50/70/140 special","0","1"
"clamperl","1","clamperl","5","tank","epic","WATER/PSYCHIC/DARK","wincon","100","8","10","35","IRON_DEFENSE","","0","1"
"clauncher","2","clauncher>clawitzer","2","artillery","rare","WATER","","80","7","2","44","WATER_PULSE","70/140/280/500 special","2","0"
"cleffa","3","cleffa>clefairy>clefable","2","fighter","uncommon","FAIRY/NORMAL","","70","5","2","44","METRONOME","","0","3"
"clobbopus","2","clobbopus>grapploct","2","fighter","uncommon","WATER/FIGHTING","","70","6","4","27","OCTOLOCK","30/60/90/180 special","0","2"
"cobalion","1","cobalion","7","runner","legendary","STEEL/FIGHTING","wincon jumps","300","26","16","60","SACRED_SWORD_IRON","","0","1"
"combee","1","combee","2","fighter","special","BUG/GRASS","","75","5","3","50","BUG_BITE","20/40/80/160 special","0","1"
"comfey","1","comfey","6","sniper","unique","GRASS/FAIRY","","150","13","8","64","FLORAL_HEALING","","0","1"
"corphish","2","corphish>crawdaunt","3","fighter","uncommon","WATER/DARK","","85","6","6","43","CRABHAMMER","","0","2"
"corsola","3","corsola>galarcorsola>cursola","4","bruiser","epic","ROCK/WATER","","125","9","2","35","RECOVER","","0","3"
"cosmog","2","cosmog>cosmoem","5","artillery","unique","PSYCHIC","","140","5","8","37","TELEPORT","","0","2"
"cottonee","2","cottonee>whimsicott","2","skirmisher","uncommon","GRASS/FAIRY","","60","5","4","74","COTTON_SPORE","","0","2"
"crabrawler","2","crabrawler>crabominable","3","bruiser","rare","ICE/FIGHTING","","90","10","4","39","ICE_HAMMER","50/100/200/400 special","0","2"
"cramorant","1","cramorant","6","skirmisher","unique","FLYING/WATER","air","200","19","6","52","GULP_MISSILE","25/40/55/110 special","0","1"
"cranidos","2","cranidos>rampardos","2","fighter","uncommon","","true","60","7","4","44","HEAD_SMASH","40/80/150/300 true","0","2"
"cresselia","1","cresselia","7","sniper","legendary","PSYCHIC/FAIRY","","300","14","10","52","LUNAR_BLESSING","","0","1"
"croagunk","2","croagunk>toxicroak","2","fighter","rare","POISON/FIGHTING/WATER","","75","6","4","52","CROSS_POISON","30/60/120/240 special","0","2"
"cryogonal","1","cryogonal","6","sniper","unique","ICE","","200","15","4","59","FREEZE_DRY","","0","1"
"cubchoo","2","cubchoo>beartic","4","bruiser","epic","ICE/WATER","","90","10","4","41","FROST_BREATH","35/70/140/280 special","0","2"
"cubone","1","cubone","5","tank","epic","GROUND/GHOST","wincon","110","11","8","36","BONEMERANG","15/30/60/120 special","0","1"
"cutiefly","2","cutiefly>ribombee","2","skirmisher","rare","BUG/FAIRY/GRASS","","75","5","2","65","POLLEN_PUFF","","0","2"
"cyclizar","1","cyclizar","7","runner","unique","DRAGON/NORMAL","wincon jumps","220","17","8","64","SHED_TAIL","","0","1"
"cyndaquil","2","cyndaquil>quilava","2","skirmisher","uncommon","FIRE","","70","7","2","51","WHEEL_OF_FIRE","10/20/40/80 special","0","2"
"darkrai","1","darkrai","7","skirmisher","legendary","DARK/GHOST","","250","22","4","65","DARK_VOID","10/20/30/60 special","0","1"
"darmanitanzen","1","darmanitanzen","5","artillery","epic","FIRE/PSYCHIC","","220","14","10","41","TRANSE","","0","1"
"darumaka","2","darumaka>darmanitan","3","bruiser","epic","FIRE/PSYCHIC","","80","11","2","55","HEADBUTT","20/40/80/160 special","0","2"
"dedenne","1","dedenne","6","tank","unique","ELECTRIC/FAIRY","wincon","200","18","10","50","STATIC_SHOCK","30/50/70/100 special","0","1"
"deerlingautumn","2","deerlingautumn>sawsbuckautumn","3","fighter","rare","NORMAL/GRASS","","80","8","4","55","HORN_LEECH","","0","2"
"deerlingspring","2","deerlingspring>sawsbuckspring","3","fighter","rare","NORMAL/GRASS","","80","8","4","55","HORN_LEECH","","0","2"
"deerlingsummer","2","deerlingsummer>sawsbucksummer","3","fighter","rare","NORMAL/GRASS","","80","8","4","55","HORN_LEECH","","0","2"
"deerlingwinter","2","deerlingwinter>sawsbuckwinter","3","fighter","rare","NORMAL/GRASS/ICE","","80","8","4","55","HORN_LEECH","","0","2"
"deino","3","deino>zweilous>hydreigon","2","skirmisher","rare","DRAGON/DARK","","80","5","4","56","DARK_HARVEST","5/10/20/40 special","0","3"
"delibird","1","delibird","7","tank","unique","ICE/FLYING","wincon air","200","19","10","49","PRESENT","","0","1"
"deoxys","1","deoxys","7","runner","legendary","PSYCHIC","wincon jumps","250","20","10","73","PSYCHO_BOOST","90/120/150/300 special","0","1"
"deoxysattack","1","deoxysattack","7","sniper","legendary","PSYCHIC","","250","25","4","73","ZAP_CANNON","25/50/100/200 special","0","1"
"deoxysdefense","1","deoxysdefense","7","tank","legendary","PSYCHIC","wincon","250","15","16","45","PROTECT","","0","1"
"deoxysspeed","1","deoxysspeed","6","skirmisher","legendary","PSYCHIC","","250","15","6","100","EXTREME_SPEED","20/30/40/80 special","0","1"
"dewpider","2","dewpider>araquanid","2","fighter","uncommon","WATER/BUG","","60","6","2","38","STICKY_WEB","20/35/70/140 special","0","2"
"dhelmise","1","dhelmise","6","tank","unique","GRASS/GHOST/STEEL","wincon","200","19","10","38","ANCHOR_SHOT","20/40/80/160 special","0","1"
"dialga","1","dialga","7","tank","legendary","DRAGON/STEEL","wincon","300","23","10","54","ROAR_OF_TIME","","0","1"
"diglett","2","diglett>dugtrio","3","runner","uncommon","GROUND/NORMAL","wincon jumps","75","5","6","63","DIG","10/20/40/80 special","2","0"
"dipplin","2","dipplin>hydrapple","6","sniper","unique","DRAGON/GRASS","","180","14","8","31","SYRUP_BOMB","30/40/50/100 special","0","2"
"ditto","1","ditto","2","fighter","special","NORMAL","","50","5","2","40","TRANSFORM","","1","0"
"doduo","2","doduo>dodrio","5","runner","epic","FLYING/NORMAL","wincon air","90","10","6","60","DRILL_PECK","30/60/120/240 special","0","2"
"dondozo","1","dondozo","7","tank","unique","WATER","wincon","250","15","20","30","ORDER_UP","30/60/100/200 special","0","1"
"dracovish","1","dracovish","6","tank","unique","DRAGON/WATER","wincon","180","20","6","49","FISHIOUS_REND","","0","1"
"dracozolt","1","dracozolt","6","tank","unique","DRAGON/ELECTRIC","wincon","180","20","6","49","BOLT_BEAK","20/40/80/160 special","0","1"
"drampa","1","drampa","6","sniper","unique","DRAGON/NORMAL","","250","12","6","37","DRAGON_PULSE","10/15/20/40 special","0","1"
"dratini","3","dratini>dragonair>dragonite","5","tank","epic","DRAGON/FLYING/WATER","wincon air","90","7","8","51","TWISTER","25/50/100/200 special","0","3"
"dreepy","3","dreepy>drakloak>dragapult","3","skirmisher","hatch","DRAGON/GHOST","","90","5","6","71","DRAGON_DARTS","10/20/40/80 special","0","3"
"drifloon","2","drifloon>drifblim","3","skirmisher","rare","GHOST/FLYING","air","100","5","4","51","TAILWIND","","0","2"
"drilbur","2","drilbur>excadrill","3","fighter","rare","GROUND/STEEL","true","80","8","4","56","DRILL_RUN","15/30/60/120 true","2","0"
"drowzee","2","drowzee>hypno","3","skirmisher","epic","PSYCHIC","","100","7","4","46","DREAM_EATER","45/90/150/250 special","0","2"
"druddigon","1","druddigon","6","tank","unique","DRAGON","wincon","170","19","8","40","OUTRAGE","","0","1"
"ducklett","2","ducklett>swanna","5","skirmisher","epic","WATER/FLYING","air","105","11","6","56","FEATHER_DANCE","","0","2"
"dudunsparse","1","dudunsparse","7","tank","unique","NORMAL/GROUND/BUG","wincon true","260","20","7","35","HYPER_DRILL","10/30/50/100 true","0","1"
"dunsparce","1","dunsparce","6","bruiser","unique","NORMAL/GROUND/BUG","true","220","15","4","35","HYPER_DRILL","10/30/50/100 true","0","1"
"duraludon","2","duraludon>archaludon","6","skirmisher","unique","DRAGON/STEEL","","180","18","6","52","ELECTRO_SHOT","80/100/120/240 special","0","2"
"durant","1","durant","7","runner","unique","STEEL/BUG","wincon jumps","190","19","12","60","INFESTATION","","0","1"
"duskull","3","duskull>dusclops>dusknoir","2","skirmisher","uncommon","DARK/GHOST","","70","6","4","39","SHADOW_BALL","30/60/100/200 special","3","0"
"dwebble","2","dwebble>crustle","5","tank","epic","BUG/ROCK","wincon","90","12","15","30","ROCK_WRECKER","80/160/320/640 special","0","2"
"eevee","1","eevee","2","fighter","special","NORMAL","branches x8","60","5","5","43","HAPPY_HOUR","","1","0"
"egg","1","egg","2","fighter","special","","","30","1","2","41","DEFAULT","","0","1"
"eiscue","1","eiscue","6","tank","unique","ICE/WATER","wincon","175","12","12","32","HEADBUTT","20/40/80/160 special","0","1"
"eiscuenoice","1","eiscuenoice","6","runner","unique","ICE/WATER","wincon jumps","175","12","6","83","HEADBUTT","20/40/80/160 special","0","1"
"ekans","2","ekans>arbok","2","fighter","uncommon","POISON/DARK","","60","8","4","51","COIL","","0","2"
"electrike","3","electrike>manectric>megamanectric","4","runner","rare","ELECTRIC","wincon jumps","80","6","6","70","THUNDER_FANG","30/60/120/240 special","0","3"
"elekid","3","elekid>electabuzz>electivire","4","tank","epic","ELECTRIC","wincon","110","5","8","55","SHOCKWAVE","30/60/120/240 special","0","3"
"elgyem","2","elgyem>beheeyem","3","skirmisher","rare","PSYCHIC","","70","8","4","38","WONDER_ROOM","","2","0"
"emolga","1","emolga","6","skirmisher","unique","ELECTRIC/FLYING","air","150","20","5","66","ELECTRO_BALL","10/20/40/80 special","0","1"
"enamorus","1","enamorus","7","sniper","legendary","FLYING/FAIRY","air","250","23","6","59","SPRINGTIDE_STORM","45/60/75/150 special","0","1"
"entei","1","entei","7","tank","legendary","FIRE","wincon","300","27","10","57","FLAME_CHARGE","30/60/120/240 special","1","0"
"espeon","1","espeon","5","runner","special","PSYCHIC","wincon jumps","150","8","6","70","HAPPY_HOUR","","1","0"
"espurr","1","espurr","3","runner","uncommon","PSYCHIC","wincon jumps","80","3","3","66","REFLECT","","0","1"
"eternatus","1","eternatus","7","runner","legendary","DRAGON/POISON","wincon jumps","300","18","16","67","DYNAMAX_CANNON","","0","1"
"exeggcute","1","exeggcute","4","sniper","epic","GRASS/PSYCHIC","","110","9","6","38","EGG_BOMB","25/50/100/200 special","1","0"
"exeggutor","1","exeggutor","6","tank","epic","GRASS/PSYCHIC","wincon","300","22","10","38","EGG_BOMB","25/50/100/200 special","1","0"
"falinksbrass","1","falinksbrass","6","tank","unique","FIGHTING/STEEL","wincon","150","14","10","50","NO_RETREAT","20/20/20/40 special","0","1"
"falinkstrooper","1","falinkstrooper","2","fighter","special","FIGHTING/STEEL","","30","1","1","50","TACKLE","20/40/60/120 special","0","1"
"farfetchd","1","farfetchd","7","tank","unique","FLYING/NORMAL","wincon air","200","20","8","50","RAZOR_WIND","20/40/80/160 special","0","1"
"feebas","2","feebas>milotic","2","fighter","special","WATER","","60","5","4","51","SPLASH","","0","2"
"fennekin","3","fennekin>braixen>delphox","1","skirmisher","common","FIRE/PSYCHIC","","50","4","2","58","MYSTICAL_FIRE","20/40/80/160 special","0","3"
"ferroseed","2","ferroseed>ferrothorn","5","tank","epic","GRASS/STEEL","wincon","100","8","14","31","SPIKES","25/50/100/200 special","0","2"
"fezandipiti","1","fezandipiti","7","runner","legendary","POISON/FAIRY","wincon jumps","250","22","10","63","DISARMING_VOICE","","0","1"
"fidough","2","fidough>dachsbun","3","fighter","rare","FAIRY","","75","7","6","55","GROWL","","0","2"
"finizen","2","finizen>palafin","6","runner","unique","WATER","wincon jumps","200","12","7","64","JET_PUNCH","","0","2"
"finneon","2","finneon>lumineon","2","skirmisher","rare","WATER","","80","6","4","54","AQUA_RING","","0","2"
"flabebe","1","flabebe","2","sniper","uncommon","FAIRY/GRASS","","60","6","2","49","FAIRY_WIND","","0","1"
"flapple","1","flapple","6","sniper","unique","DRAGON/GRASS","","180","19","4","50","GRAV_APPLE","20/40/80/160 physical","0","1"
"flareon","1","flareon","5","tank","special","FIRE","wincon","150","12","6","43","HAPPY_HOUR","","1","0"
"fletchling","3","fletchling>fletchinder>talonflame","5","skirmisher","ultra","FLYING/FIRE","air","120","12","6","65","FIRESTARTER","20/40/80/160 special","3","0"
"floette","1","floette","4","sniper","uncommon","FAIRY/GRASS","","120","10","2","49","FAIRY_WIND","","0","1"
"florges","1","florges","5","sniper","uncommon","FAIRY/GRASS","","210","19","4","49","FAIRY_WIND","","0","1"
"fluttermane","1","fluttermane","6","sniper","unique","GHOST/FAIRY","","150","17","4","59","MOONBLAST","10/14/18/26 special","0","1"
"fomantis","2","fomantis>lurantis","3","fighter","rare","GRASS/FIGHTING","true","70","8","6","47","SOLAR_BLADE","30/60/120/240 true","0","2"
"frigibax","3","frigibax>arctibax>baxcalibur","6","tank","ultra","DRAGON/ICE","wincon","150","15","6","53","GLAIVE_RUSH","50/100/200/400 special","0","3"
"froakie","3","froakie>frogadier>greninja","4","runner","hatch","WATER/DARK","wincon jumps","80","6","4","64","WATER_SHURIKEN","20/40/60/120 special","0","3"
"fuecoco","3","fuecoco>crocalor>skeledirge","3","sniper","epic","FIRE/GHOST","","110","5","4","46","TORCH_SONG","","0","3"
"furfrou","1","furfrou","6","runner","unique","NORMAL","wincon jumps","200","16","8","65","COTTON_GUARD","","0","1"
"galarianarticuno","1","galarianarticuno","7","sniper","legendary","PSYCHIC/FLYING/FAIRY/DARK","air","300","27","6","55","FREEZING_GLARE","20/40/80/160 special","0","1"
"galariandarmanitanzen","1","galariandarmanitanzen","6","bruiser","epic","ICE/FIRE","building","220","30","4","1","TRANSE","","0","1"
"galariandarumaka","2","galariandarumaka>galariandarmanitan","3","bruiser","epic","ICE/FIRE","","80","11","2","55","HEADBUTT","20/40/80/160 special","0","2"
"galarianfarfetchd","1","galarianfarfetchd","7","tank","unique","FLYING/FIGHTING/DARK","wincon air","200","20","8","50","LEAF_BLADE","","0","1"
"galarianmoltres","1","galarianmoltres","7","skirmisher","legendary","DARK/FLYING/PSYCHIC/GHOST","air","300","28","6","54","FIERY_WRATH","30/40/50/80 special","0","1"
"galarianponyta","2","galarianponyta>galarianrapidash","5","runner","epic","FAIRY/PSYCHIC","wincon jumps","90","8","6","59","PASTEL_VEIL","","0","2"
"galarianslowbro","1","galarianslowbro","5","tank","uncommon","PSYCHIC/POISON","wincon","160","12","10","35","SHELL_SIDE_ARM","","0","1"
"galarianslowking","1","galarianslowking","5","sniper","uncommon","PSYCHIC/POISON","","160","11","8","35","EERIE_SPELL","10/20/40/80 special","0","1"
"galarianslowpoke","1","galarianslowpoke","3","fighter","uncommon","PSYCHIC/POISON","","80","7","6","35","EERIE_SPELL","10/20/40/80 special","0","1"
"galarianweezing","1","galarianweezing","5","tank","uncommon","POISON/FAIRY","wincon","155","10","12","44","STRANGE_STEAM","","0","1"
"galarianyamask","2","galarianyamask>runerigus","2","skirmisher","rare","GHOST","","65","5","7","45","GRUDGE","18/36/52/104 special","0","2"
"galarianzapdos","1","galarianzapdos","7","tank","legendary","FIGHTING/FLYING","wincon air","300","27","10","57","THUNDEROUS_KICK","20/40/60/120 physical","0","1"
